is:open label:api-change-proposal created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2023-02-04,1,0,1,4,4,19,33,21
2023-02-03,0,3,0,4,4,19,34,20
2023-02-01,4,1,1,3,3,18,34,20
2023-01-31,4,0,1,3,4,18,34,20
2023-01-30,1,0,2,2,3,16,34,20
