is:open draft:false -label:S-blocked label:S-waiting-on-review __status_updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2023-02-03,0,1,1,2,6,6,6,7
2023-02-01,0,3,1,1,7,5,6,7
2023-01-31,1,3,1,1,7,5,6,7
2023-01-30,0,5,4,0,7,7,5,7
