is:open draft:false -label:S-blocked label:S-waiting-on-review __status_updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2023-02-04,13,36,18,25,42,60,35,54
2023-02-03,4,34,20,25,45,55,36,53
2023-02-01,4,21,23,27,53,52,39,52
2023-01-31,11,20,20,31,46,48,24,0
2023-01-30,1,24,18,35,46,49,27,0
