is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2022-12-07,33,27,20,35,77,437,0,0
2022-12-06,29,30,20,38,78,433,0,0
2022-12-05,20,20,21,39,82,426,0,0
2022-12-04,21,26,23,38,86,425,0,0
2022-12-03,20,28,27,29,87,425,0,0
2022-12-02,24,17,30,24,81,422,0,0
2022-12-01,17,27,32,32,79,420,0,0
2022-11-30,21,27,31,37,78,421,0,0
2022-11-29,25,26,18,36,72,420,0,0
2022-11-28,17,44,21,39,74,415,0,0
2022-11-27,27,36,20,42,77,446,0,0
2022-11-26,31,19,19,46,82,440,0,0
2022-11-25,20,28,15,37,85,437,0,0
2022-11-24,20,24,25,34,83,435,0,0
2022-11-23,23,20,27,38,83,434,0,0
2022-11-22,19,25,36,37,78,439,0,0
2022-11-21,20,19,36,41,77,441,0,0
2022-11-20,20,27,32,44,77,439,0,0
2022-11-19,16,43,26,47,80,438,0,0
2022-11-18,32,40,23,52,82,439,0,0
2022-11-17,25,28,18,50,78,440,0,0
2022-11-16,24,29,21,50,84,435,0,0
2022-11-15,25,35,28,46,86,436,0,0
2022-11-14,24,26,37,40,87,434,0,0
2022-11-13,20,24,38,36,83,431,0,0
2022-11-12,19,27,39,41,83,430,0,0
2022-11-11,15,32,33,44,83,431,0,0
2022-11-10,26,36,30,45,82,435,0,0
2022-11-09,24,46,34,50,82,433,0,0
2022-11-08,32,34,32,53,73,433,0,0
2022-11-07,30,33,26,61,66,435,0,0
2022-11-06,23,32,20,60,63,439,0,0
2022-11-05,26,36,24,60,61,440,0,0
2022-11-04,27,34,34,54,60,441,0,0
2022-11-03,31,18,41,54,59,441,0,0
2022-11-02,19,18,44,51,57,441,0,0
2022-11-01,18,26,37,46,58,438,0,0
